image,humans,cars
0000006_00159_d_0000001.jpg,3,18
0000006_00611_d_0000002.jpg,6,25
0000006_01111_d_0000003.jpg,3,12
0000006_01275_d_0000004.jpg,1,12
0000006_01659_d_0000004.jpg,0,6
0000006_02138_d_0000006.jpg,0,3
0000006_02616_d_0000007.jpg,1,0
0000006_03636_d_0000009.jpg,0,0
0000006_04050_d_0000010.jpg,0,0
0000006_04309_d_0000011.jpg,0,2
0000006_05168_d_0000013.jpg,1,11
0000006_05208_d_0000014.jpg,0,0
0000006_05575_d_0000016.jpg,0,0
0000006_05999_d_0000017.jpg,0,7
0000006_06773_d_0000018.jpg,0,1
0000006_07596_d_0000020.jpg,0,4
0000011_00234_d_0000001.jpg,39,0
0000011_01350_d_0000003.jpg,15,0
0000011_01955_d_0000004.jpg,44,2
0000011_02800_d_0000005.jpg,25,1
0000011_04202_d_0000007.jpg,16,0
0000011_05068_d_0000008.jpg,38,0
0000011_06000_d_0000009.jpg,25,1
0000011_06595_d_0000010.jpg,15,0
0000011_07307_d_0000011.jpg,34,0
0000011_08299_d_0000012.jpg,7,0
0000054_00786_d_0000001.jpg,73,1
0000063_00500_d_0000001.jpg,181,0
0000063_02235_d_0000003.jpg,79,0
0000063_03139_d_0000004.jpg,39,0
0000063_04000_d_0000005.jpg,56,0
0000063_05000_d_0000006.jpg,45,0
0000063_06000_d_0000007.jpg,34,0
0000063_07000_d_0000008.jpg,111,0
0000063_08000_d_0000009.jpg,114,0
0000063_08995_d_0000010.jpg,78,0
0000063_10000_d_0000011.jpg,102,2
0000063_11000_d_0000012.jpg,109,1
0000063_11817_d_0000013.jpg,84,0
0000063_12500_d_0000014.jpg,159,0
0000066_01097_d_0000002.jpg,293,0
0000073_00377_d_0000001.jpg,58,0
0000073_01275_d_0000002.jpg,95,0
0000073_03155_d_0000004.jpg,87,0
0000073_04009_d_0000005.jpg,87,1
0000073_05010_d_0000006.jpg,77,0
0000073_05999_d_0000007.jpg,58,0
0000074_01218_d_0000002.jpg,86,0
0000074_02723_d_0000005.jpg,77,0
0000074_03738_d_0000007.jpg,60,1
0000074_05715_d_0000011.jpg,66,2
0000074_06746_d_0000013.jpg,49,2
0000074_07297_d_0000014.jpg,86,4
0000074_07850_d_0000015.jpg,86,1
0000074_08202_d_0000016.jpg,100,1
0000074_08777_d_0000017.jpg,28,0
0000074_09738_d_0000019.jpg,92,1
0000074_10218_d_0000020.jpg,57,5
0000074_10730_d_0000021.jpg,70,3
0000074_11362_d_0000022.jpg,88,0
0000074_11827_d_0000023.jpg,81,1
0000074_12322_d_0000024.jpg,89,0
0000074_13313_d_0000026.jpg,111,0
0000074_13875_d_0000027.jpg,61,6
0000074_14850_d_0000029.jpg,90,0
0000074_15298_d_0000030.jpg,62,0
0000074_15793_d_0000031.jpg,65,0
0000074_16210_d_0000032.jpg,66,0
0000078_00490_d_0000002.jpg,1,6
0000078_01314_d_0000004.jpg,0,0
0000078_01938_d_0000006.jpg,2,2
0000078_02363_d_0000007.jpg,0,1
0000078_02778_d_0000008.jpg,13,4
0000078_03171_d_0000009.jpg,20,1
0000078_03315_d_0000010.jpg,10,0
0000078_03810_d_0000011.jpg,6,0
0000078_04210_d_0000012.jpg,1,0
0000078_04546_d_0000013.jpg,1,0
0000078_05467_d_0000015.jpg,0,0
0000078_05939_d_0000016.jpg,1,0
0000078_06363_d_0000017.jpg,3,0
0000078_06506_d_0000018.jpg,0,0
0000078_06586_d_0000019.jpg,5,0
0000078_06777_d_0000020.jpg,0,0
0000078_07266_d_0000021.jpg,6,0
0000078_07819_d_0000023.jpg,5,0
0000083_00803_d_0000003.jpg,37,0
0000087_00009_d_0000001.jpg,77,0
0000087_00299_d_0000002.jpg,110,0
0000087_00700_d_0000003.jpg,121,0
0000087_01140_d_0000004.jpg,108,0
0000087_01580_d_0000005.jpg,60,0
0000105_01556_d_0000069.jpg,12,16
0000105_01748_d_0000070.jpg,10,25
0000105_02201_d_0000071.jpg,2,9
0000105_02539_d_0000072.jpg,5,40
0000105_02747_d_0000073.jpg,5,15
0000105_02931_d_0000074.jpg,9,14
0000118_02327_d_0000076.jpg,7,52
0000118_02632_d_0000077.jpg,22,31
0000120_00559_d_0000092.jpg,40,22
0000120_01392_d_0000094.jpg,12,29
0000120_01535_d_0000095.jpg,3,4
0000120_02001_d_0000096.jpg,40,26
