image,humans,cars,total_target_objects
0000006_00159_d_0000001.jpg,4,44,48
0000006_00611_d_0000002.jpg,5,49,54
0000006_01111_d_0000003.jpg,4,12,16
0000006_01275_d_0000004.jpg,1,13,14
0000006_01659_d_0000004.jpg,0,6,6
0000006_02138_d_0000006.jpg,0,3,3
0000006_02616_d_0000007.jpg,0,0,0
0000006_03636_d_0000009.jpg,1,0,1
0000006_04050_d_0000010.jpg,0,0,0
0000006_04309_d_0000011.jpg,1,13,14
0000006_05168_d_0000013.jpg,1,16,17
0000006_05208_d_0000014.jpg,0,0,0
0000006_05575_d_0000016.jpg,0,1,1
0000006_05999_d_0000017.jpg,0,17,17
0000006_06773_d_0000018.jpg,1,15,16
0000006_07596_d_0000020.jpg,0,6,6
0000011_00234_d_0000001.jpg,36,1,37
0000011_01350_d_0000003.jpg,23,0,23
0000011_01955_d_0000004.jpg,41,2,43
0000011_02800_d_0000005.jpg,26,3,29
0000011_04202_d_0000007.jpg,23,3,26
0000011_05068_d_0000008.jpg,38,0,38
0000011_06000_d_0000009.jpg,27,2,29
0000011_06595_d_0000010.jpg,13,0,13
0000011_07307_d_0000011.jpg,34,0,34
0000011_08299_d_0000012.jpg,14,1,15
0000054_00786_d_0000001.jpg,71,1,72
0000063_00500_d_0000001.jpg,171,0,171
0000063_02235_d_0000003.jpg,83,0,83
0000063_03139_d_0000004.jpg,41,0,41
0000063_04000_d_0000005.jpg,71,0,71
0000063_05000_d_0000006.jpg,37,0,37
0000063_06000_d_0000007.jpg,31,0,31
0000063_07000_d_0000008.jpg,103,0,103
0000063_08000_d_0000009.jpg,115,0,115
0000063_08995_d_0000010.jpg,65,1,66
0000063_10000_d_0000011.jpg,85,7,92
0000063_11000_d_0000012.jpg,101,4,105
0000063_11817_d_0000013.jpg,88,4,92
0000063_12500_d_0000014.jpg,126,0,126
0000066_01097_d_0000002.jpg,300,0,300
0000073_00377_d_0000001.jpg,68,0,68
0000073_01275_d_0000002.jpg,89,0,89
0000073_03155_d_0000004.jpg,82,0,82
0000073_04009_d_0000005.jpg,77,1,78
0000073_05010_d_0000006.jpg,78,0,78
0000073_05999_d_0000007.jpg,69,1,70
0000074_01218_d_0000002.jpg,84,0,84
0000074_02723_d_0000005.jpg,74,0,74
0000074_03738_d_0000007.jpg,63,0,63
0000074_05715_d_0000011.jpg,60,3,63
0000074_06746_d_0000013.jpg,71,3,74
0000074_07297_d_0000014.jpg,75,5,80
0000074_07850_d_0000015.jpg,123,2,125
0000074_08202_d_0000016.jpg,90,1,91
0000074_08777_d_0000017.jpg,28,3,31
0000074_09738_d_0000019.jpg,103,3,106
0000074_10218_d_0000020.jpg,49,3,52
0000074_10730_d_0000021.jpg,63,3,66
0000074_11362_d_0000022.jpg,71,0,71
0000074_11827_d_0000023.jpg,69,1,70
0000074_12322_d_0000024.jpg,64,0,64
0000074_13313_d_0000026.jpg,92,1,93
0000074_13875_d_0000027.jpg,66,4,70
0000074_14850_d_0000029.jpg,81,0,81
0000074_15298_d_0000030.jpg,55,0,55
0000074_15793_d_0000031.jpg,59,0,59
0000074_16210_d_0000032.jpg,65,0,65
0000078_00490_d_0000002.jpg,2,8,10
0000078_01314_d_0000004.jpg,1,1,2
0000078_01938_d_0000006.jpg,2,6,8
0000078_02363_d_0000007.jpg,0,1,1
0000078_02778_d_0000008.jpg,14,6,20
0000078_03171_d_0000009.jpg,23,2,25
0000078_03315_d_0000010.jpg,9,0,9
0000078_03810_d_0000011.jpg,8,0,8
0000078_04210_d_0000012.jpg,1,0,1
0000078_04546_d_0000013.jpg,2,0,2
0000078_05467_d_0000015.jpg,0,0,0
0000078_05939_d_0000016.jpg,0,0,0
0000078_06363_d_0000017.jpg,8,0,8
0000078_06506_d_0000018.jpg,0,1,1
0000078_06586_d_0000019.jpg,10,0,10
0000078_06777_d_0000020.jpg,0,0,0
0000078_07266_d_0000021.jpg,5,0,5
0000078_07819_d_0000023.jpg,4,0,4
0000083_00803_d_0000003.jpg,37,0,37
0000087_00009_d_0000001.jpg,72,0,72
0000087_00299_d_0000002.jpg,100,0,100
0000087_00700_d_0000003.jpg,104,0,104
0000087_01140_d_0000004.jpg,101,0,101
0000087_01580_d_0000005.jpg,64,0,64
0000105_01556_d_0000069.jpg,16,18,34
0000105_01748_d_0000070.jpg,13,26,39
0000105_02201_d_0000071.jpg,1,11,12
0000105_02539_d_0000072.jpg,6,45,51
0000105_02747_d_0000073.jpg,5,14,19
0000105_02931_d_0000074.jpg,12,16,28
0000118_02327_d_0000076.jpg,10,70,80
0000118_02632_d_0000077.jpg,32,42,74
0000120_00559_d_0000092.jpg,31,18,49
0000120_01392_d_0000094.jpg,11,27,38
0000120_01535_d_0000095.jpg,1,4,5
0000120_02001_d_0000096.jpg,41,28,69
0000120_02946_d_0000098.jpg,25,13,38
0000120_03922_d_0000100.jpg,31,10,41
0000120_04920_d_0000102.jpg,59,19,78
0000120_05373_d_0000103.jpg,31,13,44
0000120_06848_d_0000106.jpg,17,21,38
0000120_07578_d_0000108.jpg,8,35,43
0000127_00002_d_0000119.jpg,39,110,149
0000127_00265_d_0000120.jpg,28,107,135
0000127_01002_d_0000123.jpg,34,59,93
0000152_00100_d_0000145.jpg,8,9,17
0000152_00599_d_0000146.jpg,5,16,21
0000152_02214_d_0000150.jpg,7,10,17
0000152_03226_d_0000153.jpg,8,5,13
0000161_01584_d_0000158.jpg,40,22,62
0000164_00078_d_0000159.jpg,9,15,24
0000164_01068_d_0000162.jpg,5,12,17
0000164_01302_d_0000163.jpg,2,8,10
0000164_01840_d_0000165.jpg,3,24,27
0000183_00031_d_0000176.jpg,29,17,46
0000183_00216_d_0000177.jpg,10,20,30
0000184_00512_d_0000182.jpg,18,29,47
0000186_00901_d_0000187.jpg,13,22,35
0000186_01387_d_0000188.jpg,8,23,31
0000187_00024_d_0000189.jpg,8,26,34
0000187_00444_d_0000190.jpg,6,20,26
0000187_00666_d_0000191.jpg,5,10,15
0000189_00297_d_0000198.jpg,13,25,38
0000190_00023_d_0000201.jpg,17,25,42
0000190_00172_d_0000202.jpg,10,23,33
0000192_00522_d_0000213.jpg,10,26,36
0000207_00000_d_0000001.jpg,11,28,39
0000207_00100_d_0000002.jpg,7,31,38
0000207_00300_d_0000004.jpg,8,26,34
0000207_00500_d_0000006.jpg,7,46,53
0000207_00600_d_0000007.jpg,3,61,64
0000207_00700_d_0000008.jpg,3,82,85
0000250_02350_d_0000001.jpg,1,28,29
0000259_00000_d_0000001.jpg,10,22,32
0000259_00500_d_0000002.jpg,10,18,28
0000259_01000_d_0000003.jpg,18,16,34
0000259_02000_d_0000005.jpg,18,35,53
0000259_02500_d_0000006.jpg,9,21,30
0000259_03000_d_0000007.jpg,11,17,28
0000259_03500_d_0000008.jpg,9,18,27
0000265_00500_d_0000002.jpg,4,26,30
0000265_01500_d_0000004.jpg,17,36,53
0000265_02000_d_0000005.jpg,10,34,44
0000265_03000_d_0000007.jpg,37,75,112
0000265_03500_d_0000008.jpg,18,62,80
0000265_04000_d_0000009.jpg,37,48,85
0000265_04500_d_0000010.jpg,35,64,99
0000265_05000_d_0000011.jpg,26,45,71
0000272_00000_d_0000001.jpg,12,22,34
0000272_01000_d_0000003.jpg,1,77,78
0000272_01500_d_0000004.jpg,14,82,96
0000272_02000_d_0000005.jpg,6,82,88
0000272_02500_d_0000006.jpg,25,74,99
0000272_03500_d_0000008.jpg,10,33,43
0000272_04000_d_0000009.jpg,10,26,36
0000272_04500_d_0000010.jpg,14,17,31
0000272_05000_d_0000011.jpg,14,17,31
0000272_05500_d_0000012.jpg,12,16,28
0000278_02251_d_0000001.jpg,5,54,59
0000278_02351_d_0000002.jpg,7,55,62
0000278_02451_d_0000003.jpg,6,61,67
0000278_02951_d_0000008.jpg,7,92,99
0000282_00000_d_0000001.jpg,0,3,3
0000282_04000_d_0000009.jpg,0,3,3
0000294_00000_d_0000053.jpg,27,27,54
0000298_00000_d_0000070.jpg,27,55,82
0000299_00000_d_0000088.jpg,18,49,67
0000299_01200_d_0000096.jpg,6,26,32
0000299_01650_d_0000099.jpg,4,29,33
0000299_01800_d_0000100.jpg,4,34,38
0000299_02500_d_0000102.jpg,1,18,19
0000299_03500_d_0000104.jpg,8,25,33
0000299_04000_d_0000105.jpg,7,31,38
0000299_04500_d_0000106.jpg,3,30,33
0000299_05000_d_0000107.jpg,16,54,70
0000299_05500_d_0000108.jpg,14,56,70
0000302_03866_d_0000117.jpg,4,60,64
0000310_02500_d_0000123.jpg,18,26,44
0000310_03000_d_0000124.jpg,10,8,18
0000310_03500_d_0000125.jpg,7,3,10
0000310_04000_d_0000126.jpg,23,26,49
0000310_05822_d_0000130.jpg,22,35,57
0000314_00000_d_0000142.jpg,11,20,31
0000314_00500_d_0000143.jpg,13,8,21
0000314_01000_d_0000144.jpg,10,6,16
0000314_01500_d_0000145.jpg,10,10,20
0000314_01908_d_0000146.jpg,16,19,35
0000320_00150_d_0000003.jpg,31,24,55
0000320_00300_d_0000004.jpg,27,24,51
0000320_00450_d_0000005.jpg,7,22,29
0000320_00600_d_0000006.jpg,7,25,32
0000320_00750_d_0000007.jpg,10,25,35
0000320_00900_d_0000008.jpg,16,24,40
0000320_01050_d_0000009.jpg,33,27,60
0000320_01200_d_0000010.jpg,31,23,54
0000320_03950_d_0000011.jpg,52,15,67
0000320_04050_d_0000012.jpg,43,26,69
0000320_04200_d_0000013.jpg,15,23,38
0000320_04375_d_0000014.jpg,11,35,46
0000321_00000_d_0000015.jpg,19,149,168
0000321_00268_d_0000016.jpg,2,63,65
0000328_00150_d_0000019.jpg,11,28,39
0000328_00300_d_0000020.jpg,10,37,47
0000328_00600_d_0000022.jpg,12,35,47
0000328_01050_d_0000025.jpg,8,40,48
0000337_00500_d_0000037.jpg,7,27,34
0000337_01000_d_0000038.jpg,12,35,47
0000337_01500_d_0000039.jpg,16,37,53
0000337_02000_d_0000040.jpg,12,22,34
0000337_02500_d_0000041.jpg,16,24,40
0000337_03000_d_0000042.jpg,7,16,23
0000337_03500_d_0000043.jpg,4,13,17
0000337_04000_d_0000044.jpg,3,13,16
0000337_04362_d_0000045.jpg,8,13,21
0000347_00000_d_0000046.jpg,14,51,65
0000347_00100_d_0000047.jpg,18,37,55
0000347_00511_d_0000048.jpg,8,57,65
0000347_00800_d_0000049.jpg,10,56,66
0000347_01250_d_0000050.jpg,5,40,45
0000347_01728_d_0000051.jpg,10,45,55
0000347_02000_d_0000052.jpg,5,45,50
0000353_00000_d_0000188.jpg,14,24,38
0000353_00500_d_0000189.jpg,13,34,47
0000353_01000_d_0000190.jpg,26,30,56
0000353_01500_d_0000191.jpg,15,18,33
0000353_02000_d_0000192.jpg,20,17,37
0000353_02500_d_0000193.jpg,7,29,36
0000353_03500_d_0000195.jpg,7,36,43
0000353_04500_d_0000197.jpg,7,53,60
0000353_05000_d_0000198.jpg,6,34,40
0000353_05500_d_0000199.jpg,3,25,28
0000353_06000_d_0000200.jpg,2,30,32
0000355_00000_d_0000206.jpg,1,19,20
0000355_01000_d_0000208.jpg,3,24,27
0000355_02500_d_0000211.jpg,1,9,10
0000365_00000_d_0000223.jpg,20,9,29
0000365_00500_d_0000224.jpg,20,2,22
0000365_01000_d_0000225.jpg,8,8,16
0000365_01500_d_0000226.jpg,11,4,15
0000369_00500_d_0000242.jpg,0,3,3
0000369_02000_d_0000245.jpg,0,4,4
0000370_00000_d_0000250.jpg,0,0,0
0000370_02000_d_0000254.jpg,0,3,3
0000370_03000_d_0000256.jpg,0,2,2
9999938_00000_d_0000001.jpg,9,4,13
9999938_00000_d_0000002.jpg,26,6,32
9999938_00000_d_0000003.jpg,0,8,8
9999938_00000_d_0000004.jpg,6,11,17
9999938_00000_d_0000005.jpg,8,6,14
9999938_00000_d_0000006.jpg,18,3,21
9999938_00000_d_0000007.jpg,8,19,27
9999938_00000_d_0000008.jpg,12,12,24
9999938_00000_d_0000009.jpg,1,28,29
9999938_00000_d_0000010.jpg,0,23,23
9999938_00000_d_0000011.jpg,0,42,42
9999938_00000_d_0000012.jpg,1,39,40
9999938_00000_d_0000013.jpg,0,22,22
9999938_00000_d_0000014.jpg,4,20,24
9999938_00000_d_0000015.jpg,0,30,30
9999938_00000_d_0000016.jpg,1,25,26
9999938_00000_d_0000017.jpg,1,14,15
9999938_00000_d_0000018.jpg,2,43,45
9999938_00000_d_0000019.jpg,1,73,74
9999938_00000_d_0000020.jpg,0,58,58
9999938_00000_d_0000021.jpg,0,16,16
9999938_00000_d_0000022.jpg,0,22,22
9999938_00000_d_0000023.jpg,0,25,25
9999938_00000_d_0000024.jpg,1,16,17
9999938_00000_d_0000025.jpg,0,20,20
9999938_00000_d_0000026.jpg,6,19,25
9999938_00000_d_0000027.jpg,16,15,31
9999938_00000_d_0000028.jpg,11,16,27
9999938_00000_d_0000029.jpg,0,17,17
9999938_00000_d_0000030.jpg,0,18,18
9999938_00000_d_0000031.jpg,0,24,24
9999938_00000_d_0000032.jpg,12,11,23
9999938_00000_d_0000033.jpg,6,15,21
9999938_00000_d_0000034.jpg,7,17,24
9999938_00000_d_0000035.jpg,11,12,23
9999938_00000_d_0000036.jpg,18,8,26
9999938_00000_d_0000037.jpg,25,8,33
9999938_00000_d_0000038.jpg,5,6,11
9999938_00000_d_0000039.jpg,3,9,12
9999938_00000_d_0000040.jpg,3,10,13
9999938_00000_d_0000041.jpg,2,11,13
9999938_00000_d_0000042.jpg,8,7,15
9999938_00000_d_0000043.jpg,1,15,16
9999938_00000_d_0000044.jpg,9,12,21
9999938_00000_d_0000045.jpg,3,12,15
9999938_00000_d_0000046.jpg,4,10,14
9999938_00000_d_0000047.jpg,2,15,17
9999938_00000_d_0000048.jpg,10,6,16
9999938_00000_d_0000049.jpg,6,9,15
9999938_00000_d_0000050.jpg,2,9,11
9999938_00000_d_0000051.jpg,3,8,11
9999938_00000_d_0000052.jpg,2,17,19
9999938_00000_d_0000053.jpg,4,18,22
9999938_00000_d_0000054.jpg,1,16,17
9999938_00000_d_0000055.jpg,0,18,18
9999938_00000_d_0000056.jpg,0,16,16
9999938_00000_d_0000057.jpg,6,17,23
9999938_00000_d_0000058.jpg,0,25,25
9999938_00000_d_0000059.jpg,8,7,15
9999938_00000_d_0000060.jpg,24,5,29
9999938_00000_d_0000061.jpg,0,5,5
9999938_00000_d_0000062.jpg,11,3,14
9999938_00000_d_0000063.jpg,5,4,9
9999938_00000_d_0000064.jpg,5,7,12
9999938_00000_d_0000065.jpg,14,6,20
9999938_00000_d_0000066.jpg,12,12,24
9999938_00000_d_0000067.jpg,21,10,31
9999938_00000_d_0000068.jpg,30,8,38
9999938_00000_d_0000069.jpg,3,3,6
9999938_00000_d_0000070.jpg,7,8,15
9999938_00000_d_0000071.jpg,32,4,36
9999938_00000_d_0000072.jpg,25,6,31
9999938_00000_d_0000073.jpg,41,10,51
9999938_00000_d_0000074.jpg,44,5,49
9999938_00000_d_0000075.jpg,21,10,31
9999938_00000_d_0000076.jpg,12,0,12
9999938_00000_d_0000077.jpg,21,1,22
9999938_00000_d_0000078.jpg,23,1,24
9999938_00000_d_0000079.jpg,9,5,14
9999938_00000_d_0000080.jpg,27,12,39
9999938_00000_d_0000081.jpg,9,4,13
9999938_00000_d_0000082.jpg,27,5,32
9999938_00000_d_0000083.jpg,27,6,33
9999938_00000_d_0000084.jpg,20,5,25
9999938_00000_d_0000085.jpg,20,3,23
9999938_00000_d_0000086.jpg,30,7,37
9999938_00000_d_0000087.jpg,24,7,31
9999938_00000_d_0000088.jpg,35,10,45
9999938_00000_d_0000089.jpg,33,10,43
9999938_00000_d_0000090.jpg,19,7,26
9999938_00000_d_0000091.jpg,3,7,10
9999938_00000_d_0000092.jpg,6,4,10
9999938_00000_d_0000093.jpg,6,9,15
9999938_00000_d_0000094.jpg,3,15,18
9999938_00000_d_0000095.jpg,7,11,18
