epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.908,1.3801,0.90954,0.87958,0.47059,0.37204,0.34974,0.19953,1.37879,0.96052,0.88676,0.000237412,0.000237412,0.000237412
2,289.775,1.40042,0.93771,0.88495,0.474,0.3534,0.34211,0.19299,1.39095,0.97734,0.88627,0.000465999,0.000465999,0.000465999
3,431.648,1.43336,0.97731,0.88951,0.44998,0.36079,0.33373,0.19216,1.40378,1.00976,0.89224,0.000685161,0.000685161,0.000685161
4,572.874,1.42569,0.97988,0.89074,0.45775,0.3545,0.33135,0.19021,1.39585,1.0115,0.89096,0.000671588,0.000671588,0.000671588
5,713.958,1.42426,0.97572,0.89133,0.46898,0.35682,0.33454,0.18739,1.41068,0.99525,0.89477,0.000657451,0.000657451,0.000657451
6,855.614,1.43038,0.97382,0.88936,0.45297,0.36664,0.33776,0.19076,1.40711,1.00214,0.89411,0.000643314,0.000643314,0.000643314
7,997.337,1.41607,0.95804,0.88887,0.47689,0.36215,0.34373,0.19595,1.39899,0.98852,0.89119,0.000629177,0.000629177,0.000629177
8,1139,1.41983,0.9545,0.88656,0.47656,0.3696,0.3504,0.19873,1.39764,0.97881,0.89114,0.00061504,0.00061504,0.00061504
9,1280.74,1.4038,0.94304,0.88685,0.46543,0.36577,0.3446,0.19502,1.38971,0.9868,0.89006,0.000600902,0.000600902,0.000600902
10,1422.46,1.41364,0.94843,0.88667,0.46014,0.374,0.34767,0.19595,1.4003,0.99338,0.89012,0.000586765,0.000586765,0.000586765
11,1564.05,1.40384,0.93757,0.88498,0.47451,0.36347,0.34498,0.19503,1.38396,0.9813,0.88851,0.000572628,0.000572628,0.000572628
12,1706.45,1.40859,0.93657,0.88276,0.47705,0.37637,0.35366,0.20105,1.38568,0.98435,0.88892,0.000558491,0.000558491,0.000558491
13,1848.56,1.3965,0.92942,0.88379,0.49204,0.37167,0.35576,0.20262,1.37929,0.96832,0.88913,0.000544354,0.000544354,0.000544354
14,1990.22,1.3838,0.91907,0.88169,0.4893,0.37075,0.35854,0.20371,1.37841,0.96822,0.88539,0.000530216,0.000530216,0.000530216
15,2131.94,1.38677,0.91261,0.87942,0.47861,0.37411,0.3565,0.20461,1.37814,0.96989,0.88915,0.000516079,0.000516079,0.000516079
16,2274.03,1.38365,0.91205,0.87882,0.48015,0.37126,0.35125,0.20105,1.37476,0.97199,0.88576,0.000501942,0.000501942,0.000501942
17,2416.2,1.38416,0.90771,0.8782,0.50094,0.37057,0.36292,0.20767,1.3715,0.9498,0.88626,0.000487805,0.000487805,0.000487805
18,2558.47,1.38072,0.90574,0.8799,0.48377,0.38575,0.36384,0.20714,1.36572,0.95204,0.88507,0.000473668,0.000473668,0.000473668
19,2700.2,1.37126,0.8983,0.87655,0.49379,0.38043,0.36279,0.20706,1.37085,0.95644,0.88594,0.00045953,0.00045953,0.00045953
20,2842.09,1.37153,0.891,0.87753,0.48366,0.38494,0.36359,0.20813,1.36439,0.94743,0.88394,0.000445393,0.000445393,0.000445393
21,2984.33,1.37347,0.89317,0.87881,0.50178,0.38302,0.36717,0.21156,1.36131,0.94751,0.88459,0.000431256,0.000431256,0.000431256
22,3126.49,1.37961,0.89301,0.87659,0.50301,0.37871,0.3672,0.2106,1.35917,0.94245,0.88255,0.000417119,0.000417119,0.000417119
23,3268.47,1.35663,0.88094,0.87392,0.49768,0.3866,0.37598,0.21362,1.356,0.93206,0.88079,0.000402982,0.000402982,0.000402982
24,3410.01,1.35341,0.87534,0.8746,0.4978,0.38169,0.36751,0.21063,1.3552,0.94,0.88089,0.000388844,0.000388844,0.000388844
25,3551.34,1.35143,0.87189,0.87397,0.49365,0.38717,0.37442,0.21531,1.34546,0.93991,0.87915,0.000374707,0.000374707,0.000374707
26,3693.37,1.35396,0.8718,0.87261,0.49445,0.38716,0.36876,0.21146,1.35535,0.9395,0.87978,0.00036057,0.00036057,0.00036057
27,3834.57,1.3451,0.86164,0.87247,0.4994,0.38913,0.3713,0.21333,1.35023,0.93119,0.88044,0.000346433,0.000346433,0.000346433
28,3976.74,1.35304,0.86004,0.86992,0.50213,0.38943,0.37292,0.21251,1.34731,0.93298,0.88,0.000332296,0.000332296,0.000332296
29,4118.66,1.34142,0.85539,0.86825,0.50943,0.38392,0.37475,0.21458,1.34444,0.92649,0.87865,0.000318158,0.000318158,0.000318158
30,4259.72,1.33511,0.84758,0.86987,0.50446,0.38624,0.37639,0.21507,1.34141,0.92728,0.8781,0.000304021,0.000304021,0.000304021
31,4401.96,1.34151,0.84932,0.86842,0.50619,0.38887,0.37461,0.21489,1.34205,0.92812,0.87833,0.000289884,0.000289884,0.000289884
32,4543.85,1.33749,0.84365,0.86763,0.52135,0.38134,0.37936,0.21675,1.34869,0.92051,0.87986,0.000275747,0.000275747,0.000275747
33,4685.85,1.33128,0.8385,0.86748,0.50557,0.38764,0.37705,0.21605,1.34333,0.92355,0.87906,0.00026161,0.00026161,0.00026161
34,4827.29,1.31737,0.82836,0.8682,0.50371,0.39213,0.3794,0.2187,1.33971,0.91944,0.8786,0.000247472,0.000247472,0.000247472
35,4969.19,1.31865,0.82251,0.86576,0.52101,0.38962,0.38119,0.21815,1.34052,0.92022,0.87978,0.000233335,0.000233335,0.000233335
36,5110.83,1.31812,0.82293,0.86491,0.52294,0.37902,0.37695,0.21635,1.34017,0.91998,0.87758,0.000219198,0.000219198,0.000219198
37,5251.86,1.31146,0.82043,0.86566,0.5,0.39081,0.37907,0.21745,1.33144,0.91879,0.87654,0.000205061,0.000205061,0.000205061
38,5393.73,1.31021,0.81426,0.86397,0.5088,0.39108,0.37984,0.21728,1.33896,0.91577,0.87881,0.000190924,0.000190924,0.000190924
39,5535.23,1.30629,0.80974,0.86165,0.50865,0.39387,0.37966,0.218,1.33473,0.9155,0.87745,0.000176786,0.000176786,0.000176786
40,5676.5,1.30616,0.80397,0.86324,0.50878,0.39327,0.37991,0.21762,1.33713,0.91529,0.87704,0.000162649,0.000162649,0.000162649
41,5811.21,1.26223,0.77567,0.86626,0.51672,0.38711,0.37561,0.21584,1.34195,0.9207,0.87942,0.000148512,0.000148512,0.000148512
42,5944.2,1.25001,0.76199,0.86335,0.51292,0.39193,0.37993,0.21656,1.34029,0.91637,0.87867,0.000134375,0.000134375,0.000134375
43,6077.4,1.24481,0.75569,0.8624,0.50617,0.39375,0.37742,0.21572,1.3414,0.91873,0.87929,0.000120238,0.000120238,0.000120238
44,6210.79,1.24078,0.74965,0.86203,0.52025,0.38883,0.37843,0.21805,1.3344,0.91468,0.87805,0.0001061,0.0001061,0.0001061
45,6344.61,1.23733,0.74393,0.86041,0.51974,0.38872,0.37758,0.21662,1.33417,0.91912,0.87786,9.19632e-05,9.19632e-05,9.19632e-05
46,6477.7,1.23577,0.74188,0.86121,0.52223,0.38612,0.37595,0.21606,1.33584,0.91896,0.87823,7.7826e-05,7.7826e-05,7.7826e-05
47,6611.44,1.22762,0.73437,0.85982,0.52509,0.38741,0.37669,0.21678,1.33363,0.91605,0.87799,6.36888e-05,6.36888e-05,6.36888e-05
48,6744.65,1.22975,0.73511,0.85915,0.51317,0.39208,0.3783,0.21775,1.33378,0.91475,0.8776,4.95516e-05,4.95516e-05,4.95516e-05
49,6878.01,1.22315,0.72677,0.85752,0.52122,0.38995,0.37916,0.21829,1.33433,0.91486,0.87766,3.54144e-05,3.54144e-05,3.54144e-05
50,7011.62,1.22157,0.72621,0.85812,0.51126,0.39203,0.37847,0.21795,1.33566,0.91571,0.87805,2.12772e-05,2.12772e-05,2.12772e-05
