epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.466,1.58124,1.69177,1.00117,0.36241,0.30023,0.25081,0.14379,1.45732,1.16162,0.96242,0.000237412,0.000237412,0.000237412
2,408.897,1.50037,1.19496,0.96083,0.40841,0.31941,0.27482,0.15432,1.44483,1.13279,0.95301,0.000465999,0.000465999,0.000465999
3,614.43,1.49784,1.16922,0.95523,0.42213,0.33604,0.30038,0.17046,1.42699,1.11304,0.95443,0.000685161,0.000685161,0.000685161
4,819.674,1.46919,1.12669,0.94898,0.43267,0.35599,0.32077,0.18342,1.40083,1.0835,0.94234,0.000671588,0.000671588,0.000671588
5,1025.24,1.45023,1.09964,0.94438,0.44258,0.36241,0.33547,0.19347,1.38681,1.05203,0.93884,0.000657451,0.000657451,0.000657451
6,1230.73,1.44609,1.07655,0.93937,0.45481,0.36294,0.3364,0.19563,1.39054,1.04174,0.93832,0.000643314,0.000643314,0.000643314
7,1436.25,1.42781,1.04809,0.9348,0.47358,0.37128,0.35088,0.20626,1.36079,1.02968,0.93482,0.000629177,0.000629177,0.000629177
8,1642.22,1.41905,1.03278,0.92991,0.47167,0.36841,0.3481,0.204,1.37157,1.02155,0.93524,0.00061504,0.00061504,0.00061504
9,1847.97,1.40126,1.01726,0.92835,0.48677,0.37129,0.35994,0.20971,1.36746,1.02624,0.93043,0.000600902,0.000600902,0.000600902
10,2053.71,1.40721,1.01588,0.92769,0.47708,0.37491,0.36152,0.20805,1.37054,1.01531,0.93415,0.000586765,0.000586765,0.000586765
11,2259.47,1.39557,0.99696,0.92443,0.50365,0.37564,0.36616,0.21314,1.33728,0.99927,0.92439,0.000572628,0.000572628,0.000572628
12,2465.68,1.39163,0.98387,0.92027,0.49717,0.39414,0.38086,0.22209,1.33825,0.99331,0.92414,0.000558491,0.000558491,0.000558491
13,2671.41,1.38102,0.97904,0.92118,0.50954,0.39871,0.38618,0.22408,1.3333,0.98241,0.92221,0.000544354,0.000544354,0.000544354
14,2876.26,1.36693,0.96608,0.91763,0.52203,0.39612,0.39006,0.22692,1.33071,0.96938,0.9214,0.000530216,0.000530216,0.000530216
15,3082.49,1.36516,0.95332,0.91438,0.48642,0.40277,0.3877,0.2256,1.32969,0.96821,0.92206,0.000516079,0.000516079,0.000516079
16,3288.48,1.35953,0.94794,0.91274,0.50741,0.39292,0.38715,0.22788,1.32415,0.96889,0.92075,0.000501942,0.000501942,0.000501942
17,3494.4,1.35823,0.94465,0.91171,0.50481,0.40719,0.39532,0.23247,1.32305,0.94995,0.92111,0.000487805,0.000487805,0.000487805
18,3701.01,1.35573,0.93914,0.9141,0.52657,0.41127,0.40517,0.23672,1.3169,0.95316,0.91613,0.000473668,0.000473668,0.000473668
19,3906.7,1.34311,0.92904,0.9088,0.52701,0.4128,0.40917,0.24078,1.31122,0.93139,0.91651,0.00045953,0.00045953,0.00045953
20,4112.97,1.34155,0.91698,0.90876,0.52355,0.41451,0.40457,0.23726,1.3183,0.94433,0.91781,0.000445393,0.000445393,0.000445393
21,4319.06,1.33797,0.91367,0.90833,0.53026,0.41625,0.40744,0.23985,1.30212,0.93499,0.91351,0.000431256,0.000431256,0.000431256
22,4525.29,1.3444,0.91376,0.90599,0.52649,0.41078,0.40682,0.24044,1.30352,0.9334,0.91592,0.000417119,0.000417119,0.000417119
23,4730.75,1.32409,0.89903,0.90442,0.52889,0.42209,0.4184,0.24642,1.28792,0.91312,0.9108,0.000402982,0.000402982,0.000402982
24,4936.15,1.3184,0.88913,0.90406,0.53358,0.41494,0.41378,0.24432,1.29594,0.92378,0.91075,0.000388844,0.000388844,0.000388844
25,5141.55,1.3125,0.88635,0.90228,0.54831,0.41677,0.42062,0.24851,1.29069,0.92026,0.91178,0.000374707,0.000374707,0.000374707
26,5347,1.31385,0.88262,0.90061,0.52975,0.42477,0.41826,0.24569,1.29579,0.91744,0.91041,0.00036057,0.00036057,0.00036057
27,5552.05,1.30669,0.8748,0.90112,0.54071,0.42414,0.42004,0.24851,1.28321,0.91071,0.9085,0.000346433,0.000346433,0.000346433
28,5758.82,1.31324,0.86971,0.89807,0.55062,0.42289,0.42141,0.24862,1.28806,0.91158,0.90976,0.000332296,0.000332296,0.000332296
29,5964.36,1.30346,0.86776,0.8958,0.53584,0.4247,0.42317,0.24774,1.28927,0.90586,0.90857,0.000318158,0.000318158,0.000318158
30,6169.43,1.29641,0.85751,0.89742,0.53953,0.42678,0.4256,0.25136,1.27676,0.90472,0.90779,0.000304021,0.000304021,0.000304021
31,6376.13,1.30013,0.85686,0.8955,0.54511,0.43103,0.42827,0.25324,1.27734,0.90183,0.90777,0.000289884,0.000289884,0.000289884
32,6582.09,1.29645,0.85265,0.89402,0.55296,0.42578,0.43088,0.25436,1.28625,0.89691,0.90863,0.000275747,0.000275747,0.000275747
33,6787.81,1.29039,0.84536,0.89432,0.55211,0.43156,0.42944,0.25461,1.27937,0.89748,0.90777,0.00026161,0.00026161,0.00026161
34,6993.01,1.27882,0.834,0.89392,0.55006,0.43783,0.43343,0.25703,1.28075,0.89286,0.90734,0.000247472,0.000247472,0.000247472
35,7198.66,1.27726,0.82893,0.89157,0.544,0.43675,0.43527,0.25779,1.2797,0.89264,0.90649,0.000233335,0.000233335,0.000233335
36,7404.57,1.27729,0.82851,0.8897,0.5562,0.4321,0.4312,0.25491,1.27792,0.89452,0.90522,0.000219198,0.000219198,0.000219198
37,7609.21,1.27157,0.82461,0.89143,0.53994,0.4369,0.4323,0.25552,1.27341,0.89374,0.90558,0.000205061,0.000205061,0.000205061
38,7814.86,1.26724,0.81648,0.88875,0.54334,0.44477,0.43672,0.2582,1.27642,0.89099,0.90577,0.000190924,0.000190924,0.000190924
39,8021.15,1.2637,0.81094,0.88695,0.55775,0.43831,0.43633,0.25788,1.27651,0.88979,0.90563,0.000176786,0.000176786,0.000176786
40,8225.92,1.26188,0.80552,0.88775,0.55022,0.44285,0.43715,0.25758,1.27583,0.88865,0.90542,0.000162649,0.000162649,0.000162649
41,8419.3,1.2333,0.78313,0.89264,0.54496,0.44443,0.4342,0.25601,1.28059,0.89242,0.90744,0.000148512,0.000148512,0.000148512
42,8611.5,1.22047,0.7697,0.88973,0.54145,0.44223,0.43463,0.25573,1.27964,0.89209,0.90617,0.000134375,0.000134375,0.000134375
43,8803.14,1.21682,0.76469,0.88895,0.55551,0.44147,0.43516,0.25653,1.28323,0.89076,0.90709,0.000120238,0.000120238,0.000120238
44,8995.21,1.21214,0.75709,0.88757,0.54882,0.43753,0.43372,0.25753,1.27667,0.88688,0.90655,0.0001061,0.0001061,0.0001061
45,9187.23,1.20839,0.7505,0.88583,0.55205,0.43317,0.43162,0.2563,1.27406,0.88889,0.90555,9.19632e-05,9.19632e-05,9.19632e-05
46,9379.12,1.20554,0.7467,0.88621,0.55105,0.44246,0.43643,0.25844,1.27587,0.8858,0.90604,7.7826e-05,7.7826e-05,7.7826e-05
47,9571.31,1.19837,0.73928,0.88438,0.55231,0.44154,0.43667,0.25809,1.27461,0.88518,0.90515,6.36888e-05,6.36888e-05,6.36888e-05
48,9763.04,1.19932,0.73953,0.88399,0.56062,0.44128,0.43786,0.25802,1.27467,0.88494,0.90521,4.95516e-05,4.95516e-05,4.95516e-05
49,9954.67,1.19217,0.73063,0.88178,0.55286,0.44362,0.43737,0.2581,1.27705,0.88335,0.90529,3.54144e-05,3.54144e-05,3.54144e-05
50,10146.5,1.19267,0.73113,0.88175,0.55892,0.44023,0.43801,0.25761,1.2768,0.88426,0.90547,2.12772e-05,2.12772e-05,2.12772e-05
